"","DATE","TIME","LAT","LON","DEPTH","MAG","Interevent_Count"
"1","04-02-1971","33:29.6",0.567,98.7275,33.2,6.3,60
"2","08-04-1971","45:58.6",-4.346,102.2394,71.2,6.5,13
"3","04-05-1971","04:33.3",-6.6056,105.3776,52.5,6,2
"4","07-04-1973","01:00.3",6.9809,91.3906,27.3,6,97
"5","27-02-1974","01:50.0",1.2916,97.5406,32.8,6.1,42
"6","17-05-1974","55:12.3",-6.5702,106.694,136.3,6,13
"7","07-09-1974","43:13.4",-9.927,108.3914,30.1,6.1,21
"8","10-10-1974","32:15.4",-4.1998,102.7002,49.3,6,8
"9","09-11-1974","10:56.6",-6.4385,105.3658,53.4,6.2,7
"10","04-12-1974","07:50.4",0.4164,97.8052,30.9,6,2
"11","24-12-1974","55:48.4",-2.3243,98.9167,26.9,6,4
"12","08-01-1975","58:53.3",-2.9822,101.6091,72.6,6,0
"13","01-10-1975","30:01.6",-4.9162,102.0733,35,6.1,29
"14","01-10-1975","13:28.7",-4.8274,102.0961,24.5,6,0
"15","20-06-1976","53:14.2",3.4711,96.2743,20.3,6.4,48
"16","24-06-1978","31:44.7",-5.0898,102.3327,33.5,6.1,170
"17","05-08-1978","52:11.1",-4.0873,102.2893,52.9,6,8
"18","07-05-1979","52:07.9",-6.2569,105.9585,122.2,6,48
"19","29-09-1979","37:14.8",1.1792,94.1929,33.5,6.2,34
"20","02-11-1979","53:03.7",-7.6502,108.1714,58.8,6.3,4
"21","13-11-1979","05:04.5",-4.4775,101.9463,48.4,6.2,1
"22","15-12-1979","02:40.6",-3.2776,102.5708,11.5,6,5
"23","14-06-1982","41:05.6",-4.67,102.9528,60.9,6,182
"24","11-11-1982","43:45.1",-6.66,101.595,19.9,6.3,28
"25","04-04-1983","51:35.8",5.8309,94.7294,80.5,6.7,49
"26","10-03-1984","02:01.2",-7.5249,106.9782,50.3,6,98
"27","17-11-1984","49:31.6",0.1011,97.8702,33.7,6.5,84
"28","23-11-1984","45:53.9",-7.9966,102.1275,28.1,6.2,3
"29","22-03-1985","42:58.6",-6.5927,105.4356,58.7,6.2,46
"30","09-10-1985","15:05.8",-6.7491,106.9838,158.2,6.2,55
"31","27-12-1985","38:55.2",-5.7012,104.0519,30.7,6.2,10
"32","28-12-1985","10:53.7",-5.8197,104.2049,26.1,6,3
"33","19-06-1986","12:30.7",7.9236,94.4678,181.5,6,57
"34","25-04-1987","22:12.0",2.3122,98.8637,29.1,6,72
"35","03-04-1988","27:11.9",4.8114,94.4877,39.2,6,96
"36","17-08-1988","59:10.4",-7.6363,107.09,42.9,6.3,37
"37","20-07-1989","27:27.1",5.1208,95.6723,89.1,6,96
"38","22-01-1990","26:13.9",3.9783,96.0868,52.5,6,46
"39","15-10-1990","35:45.4",-2.1237,92.2899,27.5,6,76
"40","15-11-1990","34:34.0",3.9966,97.4646,39.8,6.1,8
"41","05-03-1991","35:49.9",-3.9284,102.2963,66.9,6,47
"42","02-07-1991","14:30.5",-0.9548,99.8253,44.6,6,27
