  EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
799556,ISC      ,01-01-1970,29:17.1,-5.0846,102.5873,44,TRUE  ,ISC      ,mb    ,5.2,,,
799809,ISC      ,06-01-1970,26:44.1,-7.8822,106.9206,46,TRUE  ,ISC      ,mb    ,4.9,,,
799836,ISC      ,07-01-1970,53:48.2,-2.0282,99.4913,27.4,      ,ISC      ,mb    ,5.2,,,
800121,ISC      ,16-01-1970,27:32.9,-7.1782,106.7246,100,TRUE  ,ISC      ,mb    ,5,,,
800166,ISC      ,17-01-1970,47:23.4,-0.0211,98.8577,35,TRUE  ,ISC      ,mb    ,4.2,,,
800179,ISC      ,18-01-1970,33:04.9,-7.4392,106.3996,66,TRUE  ,ISC      ,mb    ,4.6,,,
800261,ISC      ,21-01-1970,34:07.0,7.6571,94.303,24,TRUE  ,ISC      ,mb    ,5.1,,,
800543,ISC      ,31-01-1970,41:55.5,4.1849,96.0922,59.2,      ,ISC      ,mb    ,5.2,,,
798959,ISC      ,08-02-1970,08:06.5,6.7324,93.5162,16.5,      ,ISC      ,mb    ,5.1,,,
799017,ISC      ,10-02-1970,01:00.8,4.493,96.5009,33,TRUE  ,ISC      ,mb    ,4.5,,,
799051,ISC      ,12-02-1970,35:37.4,-6.2183,104.469,49,TRUE  ,ISC      ,mb    ,5.2,,,
799392,ISC      ,24-02-1970,02:59.0,-6.9375,106.0861,63,TRUE  ,ISC      ,mb    ,4.9,,,
798325,ISC      ,23-03-1970,29:42.1,3.9475,96.4937,63,TRUE  ,ISC      ,mb    ,4.5,,,
796289,ISC      ,04-04-1970,59:00.3,2.3714,95.0979,15.9,      ,ISC      ,mb    ,5.1,,,
796319,ISC      ,05-04-1970,12:11.3,-7.1964,106.6871,130,TRUE  ,ISC      ,mb    ,4.4,,,
796721,ISC      ,14-04-1970,30:54.1,-7.8643,108.0629,70,TRUE  ,ISC      ,mb    ,4.6,,,
796728,ISC      ,14-04-1970,47:35.4,-5.754,105.4676,26,TRUE  ,ISC      ,mb    ,5,,,
796729,ISC      ,14-04-1970,27:49.3,-5.8307,105.3469,10,TRUE  ,ISC      ,mb    ,5.2,,,
796864,ISC      ,18-04-1970,30:51.9,-4.6052,103.3268,105,TRUE  ,ISC      ,mb    ,5.1,,,
795276,ISC      ,06-05-1970,21:56.3,9.8779,92.8745,32.7,      ,ISC      ,mb    ,5.2,,,
795850,ISC      ,21-05-1970,44:30.1,-7.0138,106.2771,100,TRUE  ,ISC      ,mb    ,5.1,,,
795967,ISC      ,24-05-1970,49:39.1,9.8796,93.0073,43,TRUE  ,ISC      ,mb    ,4.7,,,
793435,ISC      ,02-07-1970,14:00.1,4.5146,97.6447,12,      ,ISC      ,mb    ,5.4,,,
793711,ISC      ,12-07-1970,20:12.9,-7.4647,106.0218,32,TRUE  ,ISC      ,mb    ,4.9,,,
793874,ISC      ,19-07-1970,30:06.7,-6.1316,105.4438,26,TRUE  ,ISC      ,mb    ,4.8,,,
792454,ISC      ,01-08-1970,17:57.1,-2.9515,102.3017,121.3,      ,ISC      ,mb    ,5.4,,,
